ARCH_frequency,mean_WT,mean_AT_min,aet_mm_syr,area,ari_ix_sav,run_mm_syr,pre_mm_syr,swc_pc_syr,cmi_ix_syr,tmp_dc_syr,ele_mt_sav,tmp_dc_smx
1.871794872,10.09229079,3.4752160360536735,815.3727687941064,167.4954602734808,113.97475738081523,616.7774098838731,1136.372827351002,86.98728033973431,11.98747704108091,86.08015077618458,273.95517555693243,210.12462977289633
2,10.85609239,3.2242567039218732,811.9074880200112,676.6687050635799,119.86674292135774,610.0801969981806,1171.661963014313,88.19470992138037,15.967406707104567,82.37796619245232,363.7033290696952,205.75917073607937
2.076923077,11.52124263,3.8514836286302714,833.3647406204702,326.00020143708554,114.65340683571657,632.5636330587672,1164.8361780267303,87.06303085869733,12.618728045097315,88.6290389056478,227.58864268254263,212.62769727453264
2,9.650336282,2.0743480358003152,785.9832278708302,239.8674989824553,129.87493161593375,561.9681791457995,1171.369493932169,90.98731167221162,22.90472626757108,70.07002385719092,561.709603010607,191.11314970830543
1.846153846,10.04209492,2.0849932975176633,797.1523039707474,307.7158596902313,131.92066301372347,585.8178133850223,1205.1242752192882,91.58771619027542,23.766292426715815,71.46533878241421,545.3450320125903,193.61409321599933
2.179487179,12.06093653,3.6022911645083213,818.6768838239739,3514.5155655567687,119.82004255148463,609.7098003572016,1174.021554688643,88.41966124392275,16.050285501919763,87.66050671038086,338.3786102418118,211.3165237875613
2.282051282,13.07320767,2.821435052907768,799.3026363052442,17555.589607508,120.89159638753418,631.5569099761013,1153.615460558443,88.56264578415656,16.590866053416143,79.44661885465388,388.60323214568706,203.0759272960452
1.538461538,12.29465178,6.178482883910012,842.9407770753448,72.2148720260671,109.99689613086927,641.1494862879308,1151.873533973184,85.99689613086929,8.996896130869278,112.96876739307578,97.3511653407978,236.95195661753556
1.743589744,13.77968829,6.05025097648565,845.1282547843648,540.784301332264,109.63922879051408,633.8574254233382,1153.4124461489666,85.64066960784818,8.639745128472486,112.0392103857185,94.19804291301458,235.32704818952095
1.282051282,10.68364855,6.624706561023875,827.6198359395651,5.37115436740292,107,624.8099179697825,1131.1900820302174,84,6.999999999999999,116,39.570246090652375,235
1.58974359,13.4285278,7.225007113230109,846.83773915737,46.93536318692287,105,632.0597828010893,1130.7322487991432,83.9999018851236,4.999901885123607,122.00589208329876,23.311965969062893,243.0077907011474
1.897435897,11.45439834,3.95615551217752,830.68322472685,923.6002371230117,120.220907951098,622.6547546813398,1184.6278832687683,88.96100436232314,16.58050402720429,90.42200248970572,311.47862156539514,212.7109310969824
1.974358974,12.59418001,5.3760366525208205,830.2691420535014,556.4587159838885,108.3095156251758,573.5930630192931,1121.6828087240583,85.57825228438114,7.723546498549627,103.04758603944671,160.87427462200617,226.04916251757496
1.948717949,13.00830736,4.8674567246512,833.2856924207675,2968.315482982895,114.05034423226093,618.8194521843844,1157.456094213738,87.04595820125935,11.995203576460252,98.625215166115,210.91991387377712,221.6896761388379
1.692307692,11.62194819,5.626497089257026,835.0047682826032,152.11834174838776,110.95473564431354,637.8816820573081,1142.7761333597732,85.99862069564657,9.972193804591468,107.03787456941348,153.32638108831085,229.05271271729873
1.692307692,12.83626018,6.5151249421786135,838.0644532737729,164.8084660590623,109.95437771355616,645.8195129937023,1142.9003589528463,85.96931978450722,8.957414226513672,115.99572334948502,90.50178756104512,239.01611694323444
1.769230769,12.73064799,7.612210441054816,832.0343134451616,67.36525936003596,103.02224559370592,628.9051906897746,1103.0958990442289,83.0099053817289,3.022245593705961,123.99409018682798,25.095732983492685,246.9526323558537
1.615384615,11.99249789,6.476781052243662,837.9727048648879,153.21171194516646,107.97610268109052,581.8529138039291,1130.803673473952,85.00445942641282,7.9657280534063055,113.99801871612324,121.94286092942627,234.9983574578336
